,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.identity,,1.1216712,2.4749339,,1.2421932,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.identity,,0.6245848,1.3781277,,0.898447,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.identity,,0.4760436,1.0503759,,0.5030314,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.identity,,0.35039702,0.77314055,,0.4303444,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.identity,,0.26620752,0.5873789,,0.32840922,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.identity,,0.26300713,0.5803174,,0.24346381,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.identity,,0.2829288,0.6242739,,0.23755316,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.identity,,0.26160863,0.5772316,,0.26223314,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.identity,,0.21585193,0.47627082,,0.2503729,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.identity,,0.18618979,0.41082218,,0.21405873,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.identity,,0.18456095,0.40722823,,0.1916019,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.identity,,0.19164568,0.42286044,,0.19362982,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.identity,,0.1882662,0.41540372,,0.20040874,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.identity,,0.1762984,0.38899714,,0.19411395,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.identity,,0.16788398,0.37043098,,0.17854403,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.identity,,0.16895314,0.37279004,,0.1665622,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.identity,,0.17483355,0.385765,,0.1631912,16,0.01,0.0001,20,2,,,10
17,model_type.hyperbolic,activation.identity,,0.1781782,0.39314488,,0.16257232,17,0.01,0.0001,20,2,,,10
18,model_type.hyperbolic,activation.identity,,0.17749843,0.39164495,,0.15771347,18,0.01,0.0001,20,2,,,10
19,model_type.hyperbolic,activation.identity,,0.17641638,0.38925746,,0.14914411,19,0.01,0.0001,20,2,,,10
20,model_type.hyperbolic,activation.identity,,0.17797054,0.39268667,,0.14253865,20,0.01,0.0001,20,2,,,10
21,model_type.hyperbolic,activation.identity,,0.18170166,0.40091926,,0.14150989,21,0.01,0.0001,20,2,,,10
22,model_type.hyperbolic,activation.identity,,0.18502139,0.40824413,,0.14458004,22,0.01,0.0001,20,2,,,10
23,model_type.hyperbolic,activation.identity,,0.18607771,0.4105749,,0.14758933,23,0.01,0.0001,20,2,,,10
24,model_type.hyperbolic,activation.identity,,0.18520255,0.4086439,,0.14769886,24,0.01,0.0001,20,2,,,10
25,model_type.hyperbolic,activation.identity,,0.1840626,0.40612862,,0.14526567,25,0.01,0.0001,20,2,,,10
26,model_type.hyperbolic,activation.identity,,0.1837346,0.4054049,,0.14265434,26,0.01,0.0001,20,2,,,10
27,model_type.hyperbolic,activation.identity,,0.18359989,0.40510765,,0.1416627,27,0.01,0.0001,20,2,,,10
28,model_type.hyperbolic,activation.identity,,0.1820441,0.40167487,,0.14195584,28,0.01,0.0001,20,2,,,10
29,model_type.hyperbolic,activation.identity,,0.17817843,0.39314535,,0.14174579,29,0.01,0.0001,20,2,,,10
30,model_type.hyperbolic,activation.identity,,0.17277014,0.38121215,,0.13981454,30,0.01,0.0001,20,2,,,10
31,model_type.hyperbolic,activation.identity,,0.16754013,0.3696723,,0.13669981,31,0.01,0.0001,20,2,,,10
32,model_type.hyperbolic,activation.identity,,0.16373493,0.3612762,,0.13398069,32,0.01,0.0001,20,2,,,10
33,model_type.hyperbolic,activation.identity,,0.16138306,0.35608688,,0.13269597,33,0.01,0.0001,20,2,,,10
34,model_type.hyperbolic,activation.identity,,0.15972304,0.35242411,,0.13255031,34,0.01,0.0001,20,2,,,10
35,model_type.hyperbolic,activation.identity,,0.158158,0.3489709,,0.13247463,35,0.01,0.0001,20,2,,,10
36,model_type.hyperbolic,activation.identity,,0.1567743,0.3459178,,0.13176474,36,0.01,0.0001,20,2,,,10
37,model_type.hyperbolic,activation.identity,,0.15605183,0.3443237,,0.13066156,37,0.01,0.0001,20,2,,,10
38,model_type.hyperbolic,activation.identity,,0.15618815,0.34462446,,0.12995155,38,0.01,0.0001,20,2,,,10
39,model_type.hyperbolic,activation.identity,,0.15674591,0.34585515,,0.13010538,39,0.01,0.0001,20,2,,,10
40,model_type.hyperbolic,activation.identity,,0.15695798,0.3463231,,0.13080768,40,0.01,0.0001,20,2,,,10
41,model_type.hyperbolic,activation.identity,,0.15636235,0.34500885,,0.13128185,41,0.01,0.0001,20,2,,,10
42,model_type.hyperbolic,activation.identity,,0.15513211,0.34229437,,0.13102336,42,0.01,0.0001,20,2,,,10
43,model_type.hyperbolic,activation.identity,,0.15382844,0.33941785,,0.13018583,43,0.01,0.0001,20,2,,,10
44,model_type.hyperbolic,activation.identity,,0.15290447,0.33737913,,0.12929788,44,0.01,0.0001,20,2,,,10
45,model_type.hyperbolic,activation.identity,,0.15245302,0.33638301,,0.12870385,45,0.01,0.0001,20,2,,,10
46,model_type.hyperbolic,activation.identity,,0.15234463,0.33614385,,0.12831534,46,0.01,0.0001,20,2,,,10
47,model_type.hyperbolic,activation.identity,,0.15249991,0.3364865,,0.1278349,47,0.01,0.0001,20,2,,,10
48,model_type.hyperbolic,activation.identity,,0.1529801,0.33754602,,0.12712708,48,0.01,0.0001,20,2,,,10
49,model_type.hyperbolic,activation.identity,,0.15383933,0.3394419,,0.12634316,49,0.01,0.0001,20,2,,,10
50,model_type.hyperbolic,activation.identity,,0.15494715,0.34188625,,0.12572286,50,0.01,0.0001,20,2,,,10
51,model_type.hyperbolic,activation.identity,,0.15600589,0.3442223,,0.12532845,51,0.01,0.0001,20,2,,,10
