,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.euclidean,activation.dmelu,,0.091800205,7.726249,,0.17704573,0,0.01,0.0001,20,2,,,10
1,model_type.euclidean,activation.dmelu,,0.043348577,3.6483786,,0.097641855,1,0.01,0.0001,20,2,,,10
2,model_type.euclidean,activation.dmelu,,0.01993611,1.6778978,,0.04700869,2,0.01,0.0001,20,2,,,10
3,model_type.euclidean,activation.dmelu,,0.01797397,1.5127567,,0.021758165,3,0.01,0.0001,20,2,,,10
4,model_type.euclidean,activation.dmelu,,0.027329758,2.300175,,0.01830824,4,0.01,0.0001,20,2,,,10
5,model_type.euclidean,activation.dmelu,,0.033930283,2.8556998,,0.026739692,5,0.01,0.0001,20,2,,,10
6,model_type.euclidean,activation.dmelu,,0.032798156,2.7604158,,0.03299373,6,0.01,0.0001,20,2,,,10
7,model_type.euclidean,activation.dmelu,,0.026870532,2.2615247,,0.03180691,7,0.01,0.0001,20,2,,,10
8,model_type.euclidean,activation.dmelu,,0.02045611,1.7216629,,0.025955832,8,0.01,0.0001,20,2,,,10
9,model_type.euclidean,activation.dmelu,,0.01619029,1.3626355,,0.019768264,9,0.01,0.0001,20,2,,,10
10,model_type.euclidean,activation.dmelu,,0.014668684,1.2345715,,0.015871663,10,0.01,0.0001,20,2,,,10
11,model_type.euclidean,activation.dmelu,,0.0151635455,1.2762208,,0.014778567,11,0.01,0.0001,20,2,,,10
12,model_type.euclidean,activation.dmelu,,0.016498318,1.3885603,,0.015652066,12,0.01,0.0001,20,2,,,10
13,model_type.euclidean,activation.dmelu,,0.01768813,1.4886992,,0.017231742,13,0.01,0.0001,20,2,,,10
14,model_type.euclidean,activation.dmelu,,0.018219048,1.5333834,,0.018492358,14,0.01,0.0001,20,2,,,10
15,model_type.euclidean,activation.dmelu,,0.01802861,1.5173553,,0.018916147,15,0.01,0.0001,20,2,,,10
16,model_type.euclidean,activation.dmelu,,0.017346462,1.4599433,,0.018461306,16,0.01,0.0001,20,2,,,10
17,model_type.euclidean,activation.dmelu,,0.016514787,1.3899465,,0.01739421,17,0.01,0.0001,20,2,,,10
18,model_type.euclidean,activation.dmelu,,0.015839154,1.3330826,,0.016105939,18,0.01,0.0001,20,2,,,10
19,model_type.euclidean,activation.dmelu,,0.015485769,1.3033403,,0.01495994,19,0.01,0.0001,20,2,,,10
20,model_type.euclidean,activation.dmelu,,0.015438798,1.2993871,,0.014185362,20,0.01,0.0001,20,2,,,10
21,model_type.euclidean,activation.dmelu,,0.015528873,1.3069681,,0.01382626,21,0.01,0.0001,20,2,,,10
22,model_type.euclidean,activation.dmelu,,0.015525153,1.306655,,0.013759667,22,0.01,0.0001,20,2,,,10
23,model_type.euclidean,activation.dmelu,,0.015251845,1.2836524,,0.01377844,23,0.01,0.0001,20,2,,,10
24,model_type.euclidean,activation.dmelu,,0.01466969,1.2346561,,0.013702875,24,0.01,0.0001,20,2,,,10
25,model_type.euclidean,activation.dmelu,,0.013880418,1.168228,,0.013463758,25,0.01,0.0001,20,2,,,10
26,model_type.euclidean,activation.dmelu,,0.013061323,1.0992899,,0.013114436,26,0.01,0.0001,20,2,,,10
27,model_type.euclidean,activation.dmelu,,0.012376564,1.0416579,,0.012775824,27,0.01,0.0001,20,2,,,10
28,model_type.euclidean,activation.dmelu,,0.011914706,1.0027863,,0.012557875,28,0.01,0.0001,20,2,,,10
29,model_type.euclidean,activation.dmelu,,0.011674933,0.9826061,,0.012504732,29,0.01,0.0001,20,2,,,10
30,model_type.euclidean,activation.dmelu,,0.011593378,0.97574216,,0.012584615,30,0.01,0.0001,20,2,,,10
31,model_type.euclidean,activation.dmelu,,0.01158569,0.9750951,,0.012716778,31,0.01,0.0001,20,2,,,10
32,model_type.euclidean,activation.dmelu,,0.0115843695,0.97498393,,0.012812641,32,0.01,0.0001,20,2,,,10
33,model_type.euclidean,activation.dmelu,,0.011559184,0.9728642,,0.012810087,33,0.01,0.0001,20,2,,,10
34,model_type.euclidean,activation.dmelu,,0.011519019,0.9694838,,0.012690386,34,0.01,0.0001,20,2,,,10
35,model_type.euclidean,activation.dmelu,,0.011499295,0.96782374,,0.012476975,35,0.01,0.0001,20,2,,,10
36,model_type.euclidean,activation.dmelu,,0.011541779,0.97139937,,0.01222091,36,0.01,0.0001,20,2,,,10
37,model_type.euclidean,activation.dmelu,,0.011674311,0.9825538,,0.011979984,37,0.01,0.0001,20,2,,,10
38,model_type.euclidean,activation.dmelu,,0.0118971765,1.001311,,0.011798862,38,0.01,0.0001,20,2,,,10
39,model_type.euclidean,activation.dmelu,,0.012180563,1.0251619,,0.011696505,39,0.01,0.0001,20,2,,,10
40,model_type.euclidean,activation.dmelu,,0.012473694,1.0498328,,0.011664181,40,0.01,0.0001,20,2,,,10
41,model_type.euclidean,activation.dmelu,,0.012721695,1.0707055,,0.011673778,41,0.01,0.0001,20,2,,,10
42,model_type.euclidean,activation.dmelu,,0.012882816,1.0842661,,0.011692208,42,0.01,0.0001,20,2,,,10
43,model_type.euclidean,activation.dmelu,,0.012938833,1.0889807,,0.011694874,43,0.01,0.0001,20,2,,,10
44,model_type.euclidean,activation.dmelu,,0.012895424,1.0853273,,0.011672283,44,0.01,0.0001,20,2,,,10
45,model_type.euclidean,activation.dmelu,,0.012774514,1.075151,,0.011628178,45,0.01,0.0001,20,2,,,10
46,model_type.euclidean,activation.dmelu,,0.012603931,1.0607941,,0.011572251,46,0.01,0.0001,20,2,,,10
47,model_type.euclidean,activation.dmelu,,0.0124092875,1.0444121,,0.011512713,47,0.01,0.0001,20,2,,,10
48,model_type.euclidean,activation.dmelu,,0.012210281,1.027663,,0.011452634,48,0.01,0.0001,20,2,,,10
49,model_type.euclidean,activation.dmelu,,0.012020873,1.0117217,,0.01139072,49,0.01,0.0001,20,2,,,10
50,model_type.euclidean,activation.dmelu,,0.011851143,0.99743664,,0.011324615,50,0.01,0.0001,20,2,,,10
51,model_type.euclidean,activation.dmelu,,0.011708625,0.98544174,,0.011254165,51,0.01,0.0001,20,2,,,10
52,model_type.euclidean,activation.dmelu,,0.011598061,0.97613627,,0.011182538,52,0.01,0.0001,20,2,,,10
53,model_type.euclidean,activation.dmelu,,0.011520051,0.9695707,,0.01111469,53,0.01,0.0001,20,2,,,10
54,model_type.euclidean,activation.dmelu,,0.011470091,0.9653658,,0.011054331,54,0.01,0.0001,20,2,,,10
55,model_type.euclidean,activation.dmelu,,0.011439341,0.96277785,,0.011001421,55,0.01,0.0001,20,2,,,10
56,model_type.euclidean,activation.dmelu,,0.011417331,0.9609254,,0.01095196,56,0.01,0.0001,20,2,,,10
57,model_type.euclidean,activation.dmelu,,0.011395283,0.9590697,,0.010900209,57,0.01,0.0001,20,2,,,10
58,model_type.euclidean,activation.dmelu,,0.011368342,0.95680225,,0.010841831,58,0.01,0.0001,20,2,,,10
59,model_type.euclidean,activation.dmelu,,0.011335645,0.95405036,,0.0107758595,59,0.01,0.0001,20,2,,,10
60,model_type.euclidean,activation.dmelu,,0.011298715,0.9509422,,0.010704341,60,0.01,0.0001,20,2,,,10
61,model_type.euclidean,activation.dmelu,,0.011259506,0.94764227,,0.010630092,61,0.01,0.0001,20,2,,,10
62,model_type.euclidean,activation.dmelu,,0.011219524,0.94427717,,0.010554463,62,0.01,0.0001,20,2,,,10
63,model_type.euclidean,activation.dmelu,,0.011180223,0.94096947,,0.010476716,63,0.01,0.0001,20,2,,,10
64,model_type.euclidean,activation.dmelu,,0.011143743,0.9378992,,0.010395273,64,0.01,0.0001,20,2,,,10
65,model_type.euclidean,activation.dmelu,,0.011112726,0.93528867,,0.010309653,65,0.01,0.0001,20,2,,,10
66,model_type.euclidean,activation.dmelu,,0.011088743,0.93327016,,0.010221318,66,0.01,0.0001,20,2,,,10
67,model_type.euclidean,activation.dmelu,,0.011070195,0.93170905,,0.010132655,67,0.01,0.0001,20,2,,,10
68,model_type.euclidean,activation.dmelu,,0.0110513335,0.93012166,,0.010044854,68,0.01,0.0001,20,2,,,10
69,model_type.euclidean,activation.dmelu,,0.01102368,0.9277942,,0.009956386,69,0.01,0.0001,20,2,,,10
70,model_type.euclidean,activation.dmelu,,0.010979589,0.92408335,,0.009863391,70,0.01,0.0001,20,2,,,10
71,model_type.euclidean,activation.dmelu,,0.010915942,0.91872656,,0.009762233,71,0.01,0.0001,20,2,,,10
72,model_type.euclidean,activation.dmelu,,0.010835514,0.9119575,,0.009652158,72,0.01,0.0001,20,2,,,10
73,model_type.euclidean,activation.dmelu,,0.0107453,0.9043647,,0.009535871,73,0.01,0.0001,20,2,,,10
74,model_type.euclidean,activation.dmelu,,0.010653004,0.8965967,,0.009417401,74,0.01,0.0001,20,2,,,10
75,model_type.euclidean,activation.dmelu,,0.010564349,0.8891352,,0.009298896,75,0.01,0.0001,20,2,,,10
76,model_type.euclidean,activation.dmelu,,0.010482528,0.8822489,,0.009179146,76,0.01,0.0001,20,2,,,10
77,model_type.euclidean,activation.dmelu,,0.010409112,0.8760699,,0.009055161,77,0.01,0.0001,20,2,,,10
78,model_type.euclidean,activation.dmelu,,0.010344279,0.8706133,,0.008925281,78,0.01,0.0001,20,2,,,10
79,model_type.euclidean,activation.dmelu,,0.010285485,0.86566496,,0.008790512,79,0.01,0.0001,20,2,,,10
80,model_type.euclidean,activation.dmelu,,0.010226655,0.8607136,,0.0086526405,80,0.01,0.0001,20,2,,,10
81,model_type.euclidean,activation.dmelu,,0.010160523,0.85514766,,0.008511562,81,0.01,0.0001,20,2,,,10
82,model_type.euclidean,activation.dmelu,,0.0100835515,0.84866947,,0.008365366,82,0.01,0.0001,20,2,,,10
83,model_type.euclidean,activation.dmelu,,0.009999144,0.84156543,,0.008213285,83,0.01,0.0001,20,2,,,10
84,model_type.euclidean,activation.dmelu,,0.009915538,0.83452886,,0.008057685,84,0.01,0.0001,20,2,,,10
85,model_type.euclidean,activation.dmelu,,0.009840061,0.82817644,,0.0079019675,85,0.01,0.0001,20,2,,,10
86,model_type.euclidean,activation.dmelu,,0.009775238,0.8227207,,0.0077467025,86,0.01,0.0001,20,2,,,10
87,model_type.euclidean,activation.dmelu,,0.009719096,0.81799555,,0.007589182,87,0.01,0.0001,20,2,,,10
88,model_type.euclidean,activation.dmelu,,0.009666942,0.8136061,,0.007427532,88,0.01,0.0001,20,2,,,10
89,model_type.euclidean,activation.dmelu,,0.009612071,0.808988,,0.0072637377,89,0.01,0.0001,20,2,,,10
90,model_type.euclidean,activation.dmelu,,0.009548382,0.8036276,,0.0071011307,90,0.01,0.0001,20,2,,,10
91,model_type.euclidean,activation.dmelu,,0.009476381,0.7975678,,0.0069407467,91,0.01,0.0001,20,2,,,10
92,model_type.euclidean,activation.dmelu,,0.0094062975,0.79166925,,0.0067822756,92,0.01,0.0001,20,2,,,10
93,model_type.euclidean,activation.dmelu,,0.0093524875,0.7871404,,0.006626563,93,0.01,0.0001,20,2,,,10
94,model_type.euclidean,activation.dmelu,,0.009323462,0.7846975,,0.006474648,94,0.01,0.0001,20,2,,,10
95,model_type.euclidean,activation.dmelu,,0.009316018,0.78407097,,0.0063263965,95,0.01,0.0001,20,2,,,10
