,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.dmelu,,0.89269066,80.85577,,2.015891,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.dmelu,,0.46536753,42.150826,,0.92516845,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.dmelu,,0.3684399,33.37157,,0.45219445,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.dmelu,,0.3632273,32.899437,,0.3331255,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.dmelu,,0.3326029,30.125622,,0.32311708,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.dmelu,,0.27542248,24.946487,,0.29893163,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.dmelu,,0.22025658,19.949816,,0.25342688,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.dmelu,,0.18328457,16.601063,,0.21102463,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.dmelu,,0.16471675,14.919276,,0.1850902,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.dmelu,,0.15650561,14.17555,,0.1739504,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.dmelu,,0.15012603,13.597716,,0.16877536,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.dmelu,,0.14132339,12.800415,,0.16156025,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.dmelu,,0.13054189,11.823876,,0.14947905,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.dmelu,,0.1202635,10.892908,,0.13451323,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.dmelu,,0.11209046,10.152632,,0.12027564,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.dmelu,,0.10559113,9.563953,,0.108965464,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.dmelu,,0.09908102,8.974298,,0.100313246,16,0.01,0.0001,20,2,,,10
17,model_type.hyperbolic,activation.dmelu,,0.091098264,8.251257,,0.09252737,17,0.01,0.0001,20,2,,,10
18,model_type.hyperbolic,activation.dmelu,,0.08133245,7.366715,,0.08393427,18,0.01,0.0001,20,2,,,10
19,model_type.hyperbolic,activation.dmelu,,0.070666,6.4005976,,0.07400546,19,0.01,0.0001,20,2,,,10
20,model_type.hyperbolic,activation.dmelu,,0.0606178,5.490478,,0.06343449,20,0.01,0.0001,20,2,,,10
21,model_type.hyperbolic,activation.dmelu,,0.05261033,4.7651987,,0.053589344,21,0.01,0.0001,20,2,,,10
22,model_type.hyperbolic,activation.dmelu,,0.047407515,4.293952,,0.045778785,22,0.01,0.0001,20,2,,,10
23,model_type.hyperbolic,activation.dmelu,,0.044901676,4.0669847,,0.040683497,23,0.01,0.0001,20,2,,,10
24,model_type.hyperbolic,activation.dmelu,,0.044272657,4.010011,,0.038151763,24,0.01,0.0001,20,2,,,10
