,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.identity,,0.8414379,69.91605,,1.6268861,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.identity,,0.3656969,30.38618,,0.85911906,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.identity,,0.1699706,14.123055,,0.35778168,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.identity,,0.2613298,21.714197,,0.15193868,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.identity,,0.33940765,28.201777,,0.25003034,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.identity,,0.32208484,26.762405,,0.3245358,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.identity,,0.27956933,23.22974,,0.2996524,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.identity,,0.24745822,20.561592,,0.260908,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.identity,,0.20364402,16.921019,,0.24128099,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.identity,,0.13922058,11.568,,0.20585853,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.identity,,0.08235337,6.8428373,,0.14027601,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.identity,,0.058726728,4.879672,,0.07730997,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.identity,,0.06504151,5.404375,,0.048737038,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.identity,,0.07887089,6.5534744,,0.053117476,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.identity,,0.08331528,6.922764,,0.06656535,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.identity,,0.078028366,6.4834676,,0.0710445,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.identity,,0.07152449,5.9430532,,0.066815436,16,0.01,0.0001,20,2,,,10
17,model_type.hyperbolic,activation.identity,,0.069004476,5.733662,,0.06332347,17,0.01,0.0001,20,2,,,10
18,model_type.hyperbolic,activation.identity,,0.06789368,5.6413646,,0.06530892,18,0.01,0.0001,20,2,,,10
19,model_type.hyperbolic,activation.identity,,0.062745355,5.2135844,,0.06826131,19,0.01,0.0001,20,2,,,10
20,model_type.hyperbolic,activation.identity,,0.052234475,4.3402233,,0.064821035,20,0.01,0.0001,20,2,,,10
21,model_type.hyperbolic,activation.identity,,0.040443163,3.3604696,,0.053281337,21,0.01,0.0001,20,2,,,10
22,model_type.hyperbolic,activation.identity,,0.03236468,2.689219,,0.038973555,22,0.01,0.0001,20,2,,,10
23,model_type.hyperbolic,activation.identity,,0.029328529,2.4369416,,0.02862598,23,0.01,0.0001,20,2,,,10
24,model_type.hyperbolic,activation.identity,,0.028651351,2.3806741,,0.024599431,24,0.01,0.0001,20,2,,,10
25,model_type.hyperbolic,activation.identity,,0.026987374,2.2424123,,0.02417806,25,0.01,0.0001,20,2,,,10
26,model_type.hyperbolic,activation.identity,,0.023562012,1.957795,,0.023382308,26,0.01,0.0001,20,2,,,10
27,model_type.hyperbolic,activation.identity,,0.020285824,1.6855727,,0.020877404,27,0.01,0.0001,20,2,,,10
28,model_type.hyperbolic,activation.identity,,0.019248005,1.5993391,,0.018393707,28,0.01,0.0001,20,2,,,10
