,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.poincare,activation.dmelu,,0.600314,49.284573,,0.79205376,0,0.01,0.0001,20,2,,,10
1,model_type.poincare,activation.dmelu,,0.4456372,36.585915,,0.56679815,1,0.01,0.0001,20,2,,,10
2,model_type.poincare,activation.dmelu,,0.3371923,27.682808,,0.41200292,2,0.01,0.0001,20,2,,,10
3,model_type.poincare,activation.dmelu,,0.25929412,21.287525,,0.30577227,3,0.01,0.0001,20,2,,,10
4,model_type.poincare,activation.dmelu,,0.2012913,16.52561,,0.23152496,4,0.01,0.0001,20,2,,,10
5,model_type.poincare,activation.dmelu,,0.15616235,12.820615,,0.17782336,5,0.01,0.0001,20,2,,,10
6,model_type.poincare,activation.dmelu,,0.120149866,9.864062,,0.1372549,6,0.01,0.0001,20,2,,,10
7,model_type.poincare,activation.dmelu,,0.09210606,7.561722,,0.105768375,7,0.01,0.0001,20,2,,,10
8,model_type.poincare,activation.dmelu,,0.072392836,5.943306,,0.081960164,8,0.01,0.0001,20,2,,,10
9,model_type.poincare,activation.dmelu,,0.061823875,5.0756154,,0.06592233,9,0.01,0.0001,20,2,,,10
10,model_type.poincare,activation.dmelu,,0.060242914,4.945822,,0.05817164,10,0.01,0.0001,20,2,,,10
11,model_type.poincare,activation.dmelu,,0.06531471,5.362206,,0.058316015,11,0.01,0.0001,20,2,,,10
12,model_type.poincare,activation.dmelu,,0.072677426,5.9666705,,0.06400286,12,0.01,0.0001,20,2,,,10
13,model_type.poincare,activation.dmelu,,0.07796753,6.400977,,0.07109016,13,0.01,0.0001,20,2,,,10
14,model_type.poincare,activation.dmelu,,0.07887227,6.4752545,,0.07557578,14,0.01,0.0001,20,2,,,10
15,model_type.poincare,activation.dmelu,,0.075483814,6.197069,,0.07558653,15,0.01,0.0001,20,2,,,10
16,model_type.poincare,activation.dmelu,,0.06941106,5.6985083,,0.07148355,16,0.01,0.0001,20,2,,,10
17,model_type.poincare,activation.dmelu,,0.062638804,5.1425195,,0.06496005,17,0.01,0.0001,20,2,,,10
18,model_type.poincare,activation.dmelu,,0.056712586,4.655989,,0.057936292,18,0.01,0.0001,20,2,,,10
