,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.euclidean,activation.dmelu,,0.3652133,93.65342,,0.5298848,0,0.01,0.0001,20,2,,,10
1,model_type.euclidean,activation.dmelu,,0.2344443,60.11969,,0.36083278,1,0.01,0.0001,20,2,,,10
2,model_type.euclidean,activation.dmelu,,0.13273466,34.037792,,0.22671738,2,0.01,0.0001,20,2,,,10
3,model_type.euclidean,activation.dmelu,,0.061246105,15.705636,,0.123954095,3,0.01,0.0001,20,2,,,10
4,model_type.euclidean,activation.dmelu,,0.02212182,5.672806,,0.053731497,4,0.01,0.0001,20,2,,,10
5,model_type.euclidean,activation.dmelu,,0.015392879,3.9472706,,0.018299794,5,0.01,0.0001,20,2,,,10
6,model_type.euclidean,activation.dmelu,,0.03221477,8.260989,,0.016457176,6,0.01,0.0001,20,2,,,10
7,model_type.euclidean,activation.dmelu,,0.05212855,13.367577,,0.037053563,7,0.01,0.0001,20,2,,,10
8,model_type.euclidean,activation.dmelu,,0.059777465,15.329025,,0.057711937,8,0.01,0.0001,20,2,,,10
9,model_type.euclidean,activation.dmelu,,0.054225497,13.905307,,0.063104436,9,0.01,0.0001,20,2,,,10
10,model_type.euclidean,activation.dmelu,,0.041803762,10.719941,,0.05396484,10,0.01,0.0001,20,2,,,10
11,model_type.euclidean,activation.dmelu,,0.02891989,7.4160676,,0.038529992,11,0.01,0.0001,20,2,,,10
12,model_type.euclidean,activation.dmelu,,0.019320374,4.954417,,0.024307387,12,0.01,0.0001,20,2,,,10
13,model_type.euclidean,activation.dmelu,,0.014173709,3.6346328,,0.015057333,13,0.01,0.0001,20,2,,,10
14,model_type.euclidean,activation.dmelu,,0.012937514,3.3176296,,0.011259187,14,0.01,0.0001,20,2,,,10
15,model_type.euclidean,activation.dmelu,,0.014202441,3.642001,,0.011583959,15,0.01,0.0001,20,2,,,10
16,model_type.euclidean,activation.dmelu,,0.016390996,4.2032228,,0.01410334,16,0.01,0.0001,20,2,,,10
17,model_type.euclidean,activation.dmelu,,0.018231515,4.6751957,,0.017036976,17,0.01,0.0001,20,2,,,10
18,model_type.euclidean,activation.dmelu,,0.018967196,4.86385,,0.01912426,18,0.01,0.0001,20,2,,,10
19,model_type.euclidean,activation.dmelu,,0.018359523,4.7080216,,0.019720891,19,0.01,0.0001,20,2,,,10
20,model_type.euclidean,activation.dmelu,,0.01658194,4.2521873,,0.018728154,20,0.01,0.0001,20,2,,,10
21,model_type.euclidean,activation.dmelu,,0.014073289,3.6088817,,0.016451605,21,0.01,0.0001,20,2,,,10
22,model_type.euclidean,activation.dmelu,,0.011384306,2.9193327,,0.0134426365,22,0.01,0.0001,20,2,,,10
23,model_type.euclidean,activation.dmelu,,0.009034715,2.3168156,,0.010341794,23,0.01,0.0001,20,2,,,10
