,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.dmelu,,1.8594592,496.09793,,4.10916,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.dmelu,,0.8410003,224.37627,,2.0207539,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.dmelu,,0.4167218,111.18008,,0.91716844,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.dmelu,,0.33651498,89.78115,,0.4466163,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.dmelu,,0.39897993,106.4466,,0.34587374,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.dmelu,,0.4658399,124.28464,,0.40183356,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.dmelu,,0.47973976,127.99307,,0.46742082,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.dmelu,,0.44264564,118.09648,,0.48067814,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.dmelu,,0.3794388,101.233086,,0.4422088,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.dmelu,,0.3137449,83.70616,,0.3770668,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.dmelu,,0.25903922,69.11086,,0.30937552,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.dmelu,,0.21901849,58.433453,,0.25297898,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.dmelu,,0.19143468,51.074177,,0.21175316,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.dmelu,,0.17187043,45.854496,,0.18342419,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.dmelu,,0.15621628,41.678017,,0.16347246,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.dmelu,,0.14174654,37.817535,,0.14773057,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.dmelu,,0.12721224,33.93983,,0.13345177,16,0.01,0.0001,20,2,,,10
17,model_type.hyperbolic,activation.dmelu,,0.11247242,30.007292,,0.119377345,17,0.01,0.0001,20,2,,,10
18,model_type.hyperbolic,activation.dmelu,,0.09801675,26.150562,,0.10533996,18,0.01,0.0001,20,2,,,10
19,model_type.hyperbolic,activation.dmelu,,0.084561095,22.560637,,0.09177778,19,0.01,0.0001,20,2,,,10
20,model_type.hyperbolic,activation.dmelu,,0.07277834,19.417034,,0.079328224,20,0.01,0.0001,20,2,,,10
21,model_type.hyperbolic,activation.dmelu,,0.063152194,16.848808,,0.06857629,21,0.01,0.0001,20,2,,,10
22,model_type.hyperbolic,activation.dmelu,,0.055920776,14.919489,,0.05991931,22,0.01,0.0001,20,2,,,10
23,model_type.hyperbolic,activation.dmelu,,0.05107151,13.62572,,0.05351869,23,0.01,0.0001,20,2,,,10
24,model_type.hyperbolic,activation.dmelu,,0.048366204,12.903953,,0.049304057,24,0.01,0.0001,20,2,,,10
25,model_type.hyperbolic,activation.dmelu,,0.047386687,12.642621,,0.0470003,25,0.01,0.0001,20,2,,,10
26,model_type.hyperbolic,activation.dmelu,,0.047597144,12.69877,,0.04617274,26,0.01,0.0001,20,2,,,10
27,model_type.hyperbolic,activation.dmelu,,0.048416395,12.917343,,0.0462896,27,0.01,0.0001,20,2,,,10
28,model_type.hyperbolic,activation.dmelu,,0.04929403,13.151493,,0.046792097,28,0.01,0.0001,20,2,,,10
29,model_type.hyperbolic,activation.dmelu,,0.049776327,13.2801695,,0.047168303,29,0.01,0.0001,20,2,,,10
30,model_type.hyperbolic,activation.dmelu,,0.049553797,13.2207985,,0.047017783,30,0.01,0.0001,20,2,,,10
31,model_type.hyperbolic,activation.dmelu,,0.04848137,12.934679,,0.04609326,31,0.01,0.0001,20,2,,,10
32,model_type.hyperbolic,activation.dmelu,,0.046570387,12.424834,,0.044314634,32,0.01,0.0001,20,2,,,10
33,model_type.hyperbolic,activation.dmelu,,0.043957766,11.727796,,0.04175442,33,0.01,0.0001,20,2,,,10
34,model_type.hyperbolic,activation.dmelu,,0.04086206,10.901871,,0.03860116,34,0.01,0.0001,20,2,,,10
35,model_type.hyperbolic,activation.dmelu,,0.037535943,10.014473,,0.03511029,35,0.01,0.0001,20,2,,,10
36,model_type.hyperbolic,activation.dmelu,,0.03422434,9.130947,,0.03155296,36,0.01,0.0001,20,2,,,10
37,model_type.hyperbolic,activation.dmelu,,0.03113319,8.306238,,0.02817376,37,0.01,0.0001,20,2,,,10
38,model_type.hyperbolic,activation.dmelu,,0.02841141,7.580076,,0.025161855,38,0.01,0.0001,20,2,,,10
39,model_type.hyperbolic,activation.dmelu,,0.02614497,6.9753966,,0.022636108,39,0.01,0.0001,20,2,,,10
40,model_type.hyperbolic,activation.dmelu,,0.024360867,6.4994035,,0.020643603,40,0.01,0.0001,20,2,,,10
41,model_type.hyperbolic,activation.dmelu,,0.023037786,6.1464095,,0.019168766,41,0.01,0.0001,20,2,,,10
42,model_type.hyperbolic,activation.dmelu,,0.022119768,5.9014854,,0.01814901,42,0.01,0.0001,20,2,,,10
43,model_type.hyperbolic,activation.dmelu,,0.021530034,5.7441463,,0.017492998,43,0.01,0.0001,20,2,,,10
44,model_type.hyperbolic,activation.dmelu,,0.021183472,5.6516843,,0.017098304,44,0.01,0.0001,20,2,,,10
45,model_type.hyperbolic,activation.dmelu,,0.02099644,5.6017847,,0.016865902,45,0.01,0.0001,20,2,,,10
46,model_type.hyperbolic,activation.dmelu,,0.020893672,5.574367,,0.01671022,46,0.01,0.0001,20,2,,,10
47,model_type.hyperbolic,activation.dmelu,,0.020812685,5.5527596,,0.016564937,47,0.01,0.0001,20,2,,,10
48,model_type.hyperbolic,activation.dmelu,,0.020705933,5.5242786,,0.0163845,48,0.01,0.0001,20,2,,,10
49,model_type.hyperbolic,activation.dmelu,,0.020541474,5.4804015,,0.016142976,49,0.01,0.0001,20,2,,,10
50,model_type.hyperbolic,activation.dmelu,,0.020302478,5.416638,,0.015830992,50,0.01,0.0001,20,2,,,10
51,model_type.hyperbolic,activation.dmelu,,0.019985905,5.332177,,0.015451832,51,0.01,0.0001,20,2,,,10
52,model_type.hyperbolic,activation.dmelu,,0.019600486,5.2293487,,0.015017578,52,0.01,0.0001,20,2,,,10
53,model_type.hyperbolic,activation.dmelu,,0.019163854,5.112857,,0.01454572,53,0.01,0.0001,20,2,,,10
54,model_type.hyperbolic,activation.dmelu,,0.018699272,4.9889073,,0.014056163,54,0.01,0.0001,20,2,,,10
55,model_type.hyperbolic,activation.dmelu,,0.018231984,4.864237,,0.01356876,55,0.01,0.0001,20,2,,,10
56,model_type.hyperbolic,activation.dmelu,,0.017785555,4.7451305,,0.013101416,56,0.01,0.0001,20,2,,,10
57,model_type.hyperbolic,activation.dmelu,,0.01737896,4.6366525,,0.012668418,57,0.01,0.0001,20,2,,,10
58,model_type.hyperbolic,activation.dmelu,,0.017024426,4.5420637,,0.012279458,58,0.01,0.0001,20,2,,,10
59,model_type.hyperbolic,activation.dmelu,,0.016726699,4.462631,,0.011938982,59,0.01,0.0001,20,2,,,10
60,model_type.hyperbolic,activation.dmelu,,0.016483294,4.3976917,,0.011646417,60,0.01,0.0001,20,2,,,10
61,model_type.hyperbolic,activation.dmelu,,0.016286138,4.345091,,0.011396822,61,0.01,0.0001,20,2,,,10
62,model_type.hyperbolic,activation.dmelu,,0.016123531,4.301708,,0.011182239,62,0.01,0.0001,20,2,,,10
63,model_type.hyperbolic,activation.dmelu,,0.015982494,4.2640796,,0.0109931575,63,0.01,0.0001,20,2,,,10
64,model_type.hyperbolic,activation.dmelu,,0.015850924,4.228977,,0.010820004,64,0.01,0.0001,20,2,,,10
65,model_type.hyperbolic,activation.dmelu,,0.015719032,4.193789,,0.010654544,65,0.01,0.0001,20,2,,,10
66,model_type.hyperbolic,activation.dmelu,,0.015580206,4.1567507,,0.01049068,66,0.01,0.0001,20,2,,,10
67,model_type.hyperbolic,activation.dmelu,,0.01543109,4.1169667,,0.010324912,67,0.01,0.0001,20,2,,,10
68,model_type.hyperbolic,activation.dmelu,,0.015271144,4.0742936,,0.010156179,68,0.01,0.0001,20,2,,,10
69,model_type.hyperbolic,activation.dmelu,,0.015101748,4.0290995,,0.00998536,69,0.01,0.0001,20,2,,,10
70,model_type.hyperbolic,activation.dmelu,,0.014925176,3.9819906,,0.00981449,70,0.01,0.0001,20,2,,,10
71,model_type.hyperbolic,activation.dmelu,,0.014743819,3.933605,,0.009645932,71,0.01,0.0001,20,2,,,10
72,model_type.hyperbolic,activation.dmelu,,0.014559596,3.884455,,0.009481676,72,0.01,0.0001,20,2,,,10
73,model_type.hyperbolic,activation.dmelu,,0.0143737225,3.8348644,,0.009322968,73,0.01,0.0001,20,2,,,10
74,model_type.hyperbolic,activation.dmelu,,0.014186946,3.785033,,0.00917019,74,0.01,0.0001,20,2,,,10
75,model_type.hyperbolic,activation.dmelu,,0.013999746,3.7350888,,0.009023106,75,0.01,0.0001,20,2,,,10
76,model_type.hyperbolic,activation.dmelu,,0.0138128605,3.685228,,0.008881173,76,0.01,0.0001,20,2,,,10
77,model_type.hyperbolic,activation.dmelu,,0.013627436,3.6357574,,0.008744022,77,0.01,0.0001,20,2,,,10
78,model_type.hyperbolic,activation.dmelu,,0.013445185,3.5871334,,0.008611658,78,0.01,0.0001,20,2,,,10
79,model_type.hyperbolic,activation.dmelu,,0.013268149,3.539901,,0.008484571,79,0.01,0.0001,20,2,,,10
80,model_type.hyperbolic,activation.dmelu,,0.013098451,3.494626,,0.008363548,80,0.01,0.0001,20,2,,,10
81,model_type.hyperbolic,activation.dmelu,,0.01293784,3.4517756,,0.008249389,81,0.01,0.0001,20,2,,,10
82,model_type.hyperbolic,activation.dmelu,,0.0127874585,3.4116542,,0.008142553,82,0.01,0.0001,20,2,,,10
83,model_type.hyperbolic,activation.dmelu,,0.012647576,3.3743339,,0.008042897,83,0.01,0.0001,20,2,,,10
84,model_type.hyperbolic,activation.dmelu,,0.0125176795,3.339678,,0.007949542,84,0.01,0.0001,20,2,,,10
85,model_type.hyperbolic,activation.dmelu,,0.012396629,3.307382,,0.007861034,85,0.01,0.0001,20,2,,,10
86,model_type.hyperbolic,activation.dmelu,,0.012282954,3.2770538,,0.0077755423,86,0.01,0.0001,20,2,,,10
87,model_type.hyperbolic,activation.dmelu,,0.0121751875,3.2483022,,0.0076912614,87,0.01,0.0001,20,2,,,10
88,model_type.hyperbolic,activation.dmelu,,0.012072109,3.220801,,0.00760673,88,0.01,0.0001,20,2,,,10
89,model_type.hyperbolic,activation.dmelu,,0.011972826,3.1943128,,0.007521103,89,0.01,0.0001,20,2,,,10
90,model_type.hyperbolic,activation.dmelu,,0.011876807,3.168695,,0.007434203,90,0.01,0.0001,20,2,,,10
91,model_type.hyperbolic,activation.dmelu,,0.011783792,3.143879,,0.0073464857,91,0.01,0.0001,20,2,,,10
92,model_type.hyperbolic,activation.dmelu,,0.01169359,3.1198134,,0.0072588264,92,0.01,0.0001,20,2,,,10
93,model_type.hyperbolic,activation.dmelu,,0.011605962,3.0964346,,0.007172254,93,0.01,0.0001,20,2,,,10
94,model_type.hyperbolic,activation.dmelu,,0.011520521,3.0736392,,0.007087736,94,0.01,0.0001,20,2,,,10
95,model_type.hyperbolic,activation.dmelu,,0.011436672,3.0512686,,0.0070059644,95,0.01,0.0001,20,2,,,10
96,model_type.hyperbolic,activation.dmelu,,0.011353721,3.0291374,,0.0069272793,96,0.01,0.0001,20,2,,,10
97,model_type.hyperbolic,activation.dmelu,,0.0112709245,3.0070477,,0.0068516773,97,0.01,0.0001,20,2,,,10
98,model_type.hyperbolic,activation.dmelu,,0.011187619,2.9848218,,0.0067788903,98,0.01,0.0001,20,2,,,10
99,model_type.hyperbolic,activation.dmelu,,0.011103345,2.962338,,0.006708492,99,0.01,0.0001,20,2,,,10
100,model_type.hyperbolic,activation.dmelu,,0.011017889,2.9395385,,0.0066400175,100,0.01,0.0001,20,2,,,10
101,model_type.hyperbolic,activation.dmelu,,0.010931326,2.9164438,,0.006573054,101,0.01,0.0001,20,2,,,10
102,model_type.hyperbolic,activation.dmelu,,0.01084399,2.893143,,0.006507298,102,0.01,0.0001,20,2,,,10
103,model_type.hyperbolic,activation.dmelu,,0.010756417,2.8697786,,0.00644256,103,0.01,0.0001,20,2,,,10
104,model_type.hyperbolic,activation.dmelu,,0.010669264,2.8465264,,0.006378747,104,0.01,0.0001,20,2,,,10
105,model_type.hyperbolic,activation.dmelu,,0.01058325,2.8235781,,0.006315866,105,0.01,0.0001,20,2,,,10
106,model_type.hyperbolic,activation.dmelu,,0.01049903,2.8011086,,0.0062539442,106,0.01,0.0001,20,2,,,10
107,model_type.hyperbolic,activation.dmelu,,0.010417186,2.7792728,,0.0061930306,107,0.01,0.0001,20,2,,,10
108,model_type.hyperbolic,activation.dmelu,,0.010338111,2.7581758,,0.006133176,108,0.01,0.0001,20,2,,,10
109,model_type.hyperbolic,activation.dmelu,,0.01026204,2.7378805,,0.0060744025,109,0.01,0.0001,20,2,,,10
110,model_type.hyperbolic,activation.dmelu,,0.01018899,2.718391,,0.0060167313,110,0.01,0.0001,20,2,,,10
111,model_type.hyperbolic,activation.dmelu,,0.010118755,2.6996522,,0.0059601553,111,0.01,0.0001,20,2,,,10
112,model_type.hyperbolic,activation.dmelu,,0.010050991,2.6815732,,0.005904645,112,0.01,0.0001,20,2,,,10
113,model_type.hyperbolic,activation.dmelu,,0.009985218,2.664025,,0.0058501638,113,0.01,0.0001,20,2,,,10
114,model_type.hyperbolic,activation.dmelu,,0.009920877,2.6468592,,0.0057966667,114,0.01,0.0001,20,2,,,10
115,model_type.hyperbolic,activation.dmelu,,0.009857414,2.6299274,,0.0057440894,115,0.01,0.0001,20,2,,,10
116,model_type.hyperbolic,activation.dmelu,,0.009794326,2.6130955,,0.005692388,116,0.01,0.0001,20,2,,,10
117,model_type.hyperbolic,activation.dmelu,,0.009731199,2.5962536,,0.0056415163,117,0.01,0.0001,20,2,,,10
118,model_type.hyperbolic,activation.dmelu,,0.009667751,2.579326,,0.005591441,118,0.01,0.0001,20,2,,,10
119,model_type.hyperbolic,activation.dmelu,,0.009603891,2.562288,,0.005542151,119,0.01,0.0001,20,2,,,10
120,model_type.hyperbolic,activation.dmelu,,0.009539635,2.545145,,0.0054936456,120,0.01,0.0001,20,2,,,10
121,model_type.hyperbolic,activation.dmelu,,0.009475138,2.5279374,,0.005445933,121,0.01,0.0001,20,2,,,10
122,model_type.hyperbolic,activation.dmelu,,0.009410642,2.51073,,0.0053990255,122,0.01,0.0001,20,2,,,10
123,model_type.hyperbolic,activation.dmelu,,0.009346451,2.493604,,0.005352921,123,0.01,0.0001,20,2,,,10
124,model_type.hyperbolic,activation.dmelu,,0.009282883,2.4766443,,0.005307606,124,0.01,0.0001,20,2,,,10
125,model_type.hyperbolic,activation.dmelu,,0.009220236,2.4599302,,0.0052630515,125,0.01,0.0001,20,2,,,10
126,model_type.hyperbolic,activation.dmelu,,0.0091587845,2.4435353,,0.005219213,126,0.01,0.0001,20,2,,,10
127,model_type.hyperbolic,activation.dmelu,,0.009098726,2.427512,,0.0051760497,127,0.01,0.0001,20,2,,,10
128,model_type.hyperbolic,activation.dmelu,,0.009040207,2.411899,,0.0051335143,128,0.01,0.0001,20,2,,,10
129,model_type.hyperbolic,activation.dmelu,,0.008983284,2.3967123,,0.005091582,129,0.01,0.0001,20,2,,,10
130,model_type.hyperbolic,activation.dmelu,,0.00892794,2.3819468,,0.005050231,130,0.01,0.0001,20,2,,,10
131,model_type.hyperbolic,activation.dmelu,,0.008874086,2.3675785,,0.0050094654,131,0.01,0.0001,20,2,,,10
132,model_type.hyperbolic,activation.dmelu,,0.00882156,2.3535647,,0.004969291,132,0.01,0.0001,20,2,,,10
133,model_type.hyperbolic,activation.dmelu,,0.0087701455,2.3398476,,0.0049297223,133,0.01,0.0001,20,2,,,10
134,model_type.hyperbolic,activation.dmelu,,0.00871959,2.3263593,,0.004890769,134,0.01,0.0001,20,2,,,10
