,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.identity,,0.64176834,165.0857,,1.6840625,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.identity,,0.5481755,141.01028,,0.63221174,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.identity,,0.4478319,115.198326,,0.5509851,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.identity,,0.2839665,73.04631,,0.44324058,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.identity,,0.2003431,51.535385,,0.25835288,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.identity,,0.20799756,53.504387,,0.163602,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.identity,,0.23414217,60.22971,,0.17699362,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.identity,,0.22527148,57.947853,,0.21989374,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.identity,,0.18115667,46.599953,,0.22804126,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.identity,,0.12769376,32.847385,,0.19448346,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.identity,,0.08976156,23.089872,,0.14367563,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.identity,,0.077400446,19.910152,,0.10208054,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.identity,,0.08404455,21.619255,,0.08257247,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.identity,,0.0943385,24.267223,,0.0814881,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.identity,,0.095683485,24.613203,,0.08565073,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.identity,,0.085098505,21.89037,,0.08354016,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.identity,,0.067865185,17.457344,,0.07213668,16,0.01,0.0001,20,2,,,10
17,model_type.hyperbolic,activation.identity,,0.051663987,13.289819,,0.05587815,17,0.01,0.0001,20,2,,,10
18,model_type.hyperbolic,activation.identity,,0.041522935,10.681179,,0.041341573,18,0.01,0.0001,20,2,,,10
19,model_type.hyperbolic,activation.identity,,0.038098823,9.800375,,0.032699645,19,0.01,0.0001,20,2,,,10
20,model_type.hyperbolic,activation.identity,,0.038824495,9.987043,,0.03023964,20,0.01,0.0001,20,2,,,10
