,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.poincare,activation.dmelu,,0.75323266,194.7276,,0.95796233,0,0.01,0.0001,20,2,,,10
1,model_type.poincare,activation.dmelu,,0.61915344,160.0651,,0.7681997,1,0.01,0.0001,20,2,,,10
2,model_type.poincare,activation.dmelu,,0.50638723,130.91249,,0.6244625,2,0.01,0.0001,20,2,,,10
3,model_type.poincare,activation.dmelu,,0.4075925,105.37183,,0.50749755,3,0.01,0.0001,20,2,,,10
4,model_type.poincare,activation.dmelu,,0.32117963,83.032166,,0.40748867,4,0.01,0.0001,20,2,,,10
5,model_type.poincare,activation.dmelu,,0.24771088,64.03884,,0.32059836,5,0.01,0.0001,20,2,,,10
6,model_type.poincare,activation.dmelu,,0.18827438,48.673164,,0.24620503,6,0.01,0.0001,20,2,,,10
7,model_type.poincare,activation.dmelu,,0.14317682,37.01443,,0.1850336,7,0.01,0.0001,20,2,,,10
8,model_type.poincare,activation.dmelu,,0.111449786,28.812279,,0.13752455,8,0.01,0.0001,20,2,,,10
9,model_type.poincare,activation.dmelu,,0.091408454,23.631144,,0.10312741,9,0.01,0.0001,20,2,,,10
10,model_type.poincare,activation.dmelu,,0.08124995,21.004942,,0.08056274,10,0.01,0.0001,20,2,,,10
11,model_type.poincare,activation.dmelu,,0.07899794,20.422745,,0.068324864,11,0.01,0.0001,20,2,,,10
12,model_type.poincare,activation.dmelu,,0.082124874,21.231129,,0.06462137,12,0.01,0.0001,20,2,,,10
13,model_type.poincare,activation.dmelu,,0.08720511,22.544485,,0.06693296,13,0.01,0.0001,20,2,,,10
14,model_type.poincare,activation.dmelu,,0.090394825,23.369097,,0.071671374,14,0.01,0.0001,20,2,,,10
15,model_type.poincare,activation.dmelu,,0.08942291,23.117836,,0.07493557,15,0.01,0.0001,20,2,,,10
16,model_type.poincare,activation.dmelu,,0.08456935,21.863081,,0.07450966,16,0.01,0.0001,20,2,,,10
17,model_type.poincare,activation.dmelu,,0.07774992,20.100105,,0.07062342,17,0.01,0.0001,20,2,,,10
18,model_type.poincare,activation.dmelu,,0.07087851,18.32369,,0.064993285,18,0.01,0.0001,20,2,,,10
19,model_type.poincare,activation.dmelu,,0.064924754,16.78451,,0.05930724,19,0.01,0.0001,20,2,,,10
20,model_type.poincare,activation.dmelu,,0.059922453,15.4913025,,0.05435148,20,0.01,0.0001,20,2,,,10
21,model_type.poincare,activation.dmelu,,0.055581756,14.369135,,0.050078817,21,0.01,0.0001,20,2,,,10
22,model_type.poincare,activation.dmelu,,0.051773973,13.384737,,0.046196118,22,0.01,0.0001,20,2,,,10
23,model_type.poincare,activation.dmelu,,0.048621763,12.56982,,0.04262386,23,0.01,0.0001,20,2,,,10
24,model_type.poincare,activation.dmelu,,0.046259873,11.959218,,0.03953494,24,0.01,0.0001,20,2,,,10
25,model_type.poincare,activation.dmelu,,0.044632286,11.53845,,0.037108257,25,0.01,0.0001,20,2,,,10
26,model_type.poincare,activation.dmelu,,0.043474875,11.239234,,0.035314895,26,0.01,0.0001,20,2,,,10
27,model_type.poincare,activation.dmelu,,0.042486582,10.983738,,0.03391035,27,0.01,0.0001,20,2,,,10
28,model_type.poincare,activation.dmelu,,0.04149581,10.727601,,0.032599185,28,0.01,0.0001,20,2,,,10
29,model_type.poincare,activation.dmelu,,0.040499322,10.469986,,0.031217897,29,0.01,0.0001,20,2,,,10
30,model_type.poincare,activation.dmelu,,0.039556578,10.226266,,0.029782373,30,0.01,0.0001,20,2,,,10
31,model_type.poincare,activation.dmelu,,0.03866746,9.996408,,0.0284033,31,0.01,0.0001,20,2,,,10
32,model_type.poincare,activation.dmelu,,0.03772952,9.75393,,0.027149508,32,0.01,0.0001,20,2,,,10
33,model_type.poincare,activation.dmelu,,0.03661137,9.464864,,0.025982566,33,0.01,0.0001,20,2,,,10
34,model_type.poincare,activation.dmelu,,0.035266776,9.117255,,0.024826102,34,0.01,0.0001,20,2,,,10
35,model_type.poincare,activation.dmelu,,0.033807218,8.739926,,0.023654165,35,0.01,0.0001,20,2,,,10
36,model_type.poincare,activation.dmelu,,0.032425743,8.382784,,0.022539014,36,0.01,0.0001,20,2,,,10
37,model_type.poincare,activation.dmelu,,0.031280704,8.086766,,0.021602632,37,0.01,0.0001,20,2,,,10
38,model_type.poincare,activation.dmelu,,0.030414548,7.862845,,0.02091871,38,0.01,0.0001,20,2,,,10
39,model_type.poincare,activation.dmelu,,0.029757697,7.6930346,,0.020455865,39,0.01,0.0001,20,2,,,10
40,model_type.poincare,activation.dmelu,,0.029204581,7.5500417,,0.020105552,40,0.01,0.0001,20,2,,,10
41,model_type.poincare,activation.dmelu,,0.028680611,7.4145837,,0.019757895,41,0.01,0.0001,20,2,,,10
42,model_type.poincare,activation.dmelu,,0.028155282,7.2787743,,0.019359088,42,0.01,0.0001,20,2,,,10
43,model_type.poincare,activation.dmelu,,0.027614223,7.138898,,0.018911002,43,0.01,0.0001,20,2,,,10
